map_name,sim_id
map-1a3811e4-faf0-4010-b78b-be93b9d4dc06,sim-c03d62a1-3a78-4709-8ddf-e05dfe9073e7
map-f59d0bf8-5ec9-404f-bf18-8a3c2d0c9d28,sim-807ddd23-d792-4b20-bd9d-26a2abbc7730
map-629381c0-45f5-4de5-a106-258566f3c867,sim-d244dd09-d067-4fa0-87fd-2b711ece1ead
map-cf359cd1-5f15-45ad-bc02-cd9255b56367,sim-3569a23b-e646-4303-972c-cd829e16e7f7
map-c03146b5-19e8-4083-b8aa-27c0350e8411,sim-5fec2525-92e0-4189-a41a-47dc9d562865
map-ff42a686-f0fb-44f4-9d9b-a298a53ef01f,sim-617f10c2-aa6d-48cb-9aa4-bd98ca82f69c
map-0868fb9c-d8e9-4ad9-99af-fa58da4e7ffd,sim-5f1765d2-457e-4fb5-8831-24e7cb4cb608
map-234c08bb-581f-46df-b65c-627932ebd6bc,sim-f1fa1d0b-8b89-441d-ab89-f9b41482a66e
map-b27b8733-e26a-4b8d-937d-f8b1354f5bb6,sim-3f70628f-1655-4e08-8e47-ac673fa537d7
map-c0e782fe-efc9-417a-a177-4d946d945baf,sim-e1116ed6-e259-4b17-85f7-b92b074e8349
map-3c5bdc6f-a371-4671-840b-3ad660168659,sim-8815314c-096b-43db-b330-56272f151a7b
map-eca6525e-4a5b-424e-a95f-7df3fff861cf,sim-ce8aecb0-51d1-436b-878c-4f17ddf86115
map-c3f7da89-7910-4662-a112-a61251015ef8,sim-6b83b557-ce42-4f61-814b-d0ee649de3d2
map-113315b9-f696-41f9-bfb7-e0381fbbe255,sim-b103c6a2-4711-402e-93eb-503bca84445e
map-5f09501e-67ac-4d60-9677-66d7b2482331,sim-d1975269-9520-44a2-9772-bdc9b664d0fc
